hit-ratio,ndcq,window-size,epochs,sub-sample,negative-sampling-dist,embedding-size,negative-samples-size,learning-rate,mininum-count
0.28148774302620455,0.10517990734782154,9.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.2821698906644239,0.11379433402930021,5.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.28434237995824635,0.11688967363495902,3.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.2847599164926931,0.11661679965868807,5.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.28499580888516346,0.12190187833940301,7.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.2851727042965459,0.11876569300072093,3.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.2853545950482585,0.11776558756850374,9.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.2854149203688181,0.11988784848837913,5.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.2879799666110184,0.12518377087699445,3.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.28847771236333053,0.1176807154042098,5.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.28887959866220736,0.12454462071635918,3.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.28938640132669985,0.12597131897811908,9.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.2910758965804837,0.1268965820617993,7.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.2917192097519966,0.12024344565233595,7.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.2924024640657084,0.13672854848236626,5.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.2935973041280539,0.12041954631344619,7.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.2936440677966102,0.11664914071498472,9.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.2952822240943555,0.12119047205391452,5.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.2959697732997481,0.1272380062375894,3.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.29641827912721286,0.13339074010002183,5.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
0.2987394957983193,0.12518787711693952,7.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.29928840519045624,0.12818349945501184,9.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.3005804311774461,0.12949093201989717,3.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
0.30138713745271123,0.12675846149573233,7.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.30209205020920504,0.12821521640831923,7.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.30213121604680315,0.13009088744510203,5.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.30299199325748,0.12424036052701286,5.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.30467135179826377,0.13372123129437985,9.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.3052109181141439,0.13696385954515952,7.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.3058823529411765,0.12959684169880312,9.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.30971993410214166,0.14318975615791524,7.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
0.31202370872142254,0.12912564359555403,3.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.31313131313131315,0.12898665662435538,9.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.3146208630079598,0.13786082539649505,5.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.3150042625745951,0.12728256290330153,3.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.3157010915197313,0.1407627280641999,7.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.3180864456567352,0.13956954101972946,3.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.31833473507148863,0.13427188229641213,3.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.3196652719665272,0.13679831289779426,3.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.3224989447024061,0.13523178395530808,5.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.3229078613693998,0.13295717106207525,3.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.32345469940728194,0.1323641216986299,7.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.32471386180584993,0.1303502574791273,9.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.32590412111017664,0.13975613141965385,5.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
